Name,Protocol,Expiry,Liquidity USD,Implied APY,Underlying APY,Categories
wstUSR,Resolv,2026-06-25T00:00:00.000Z,117184.07,5.93,0.34,"stables, points"
sKAITO,Kaito,2026-07-30T00:00:00.000Z,116992.35,37.66,12.0,others
wsuperOETHb,Origin,2026-06-25T00:00:00.000Z,103747.94,4.06,2.54,eth
stHYPE,stakedhype,2026-08-27T00:00:00.000Z,98317.35,5.17,2.38,"hype, points"
USD (Midas mEDGE),Midas,2026-04-30T00:00:00.000Z,93881.89,5.88,3.3,"stables, points"
USD (Midas mMEV),Midas,2026-04-30T00:00:00.000Z,91431.66,6.9,0,"stables, points"
ynBNBx,YieldNest,2026-04-16T00:00:00.000Z,91427.33,5.36,0.3,others
PlasmaUSD,Plasma,2026-04-30T00:00:00.000Z,85631.59,4.22,2.87,"stables, points"
iUSD,InfiniFi,2026-06-25T00:00:00.000Z,79758.62,5.93,0,"stables, points"
wsrUSD,Reservoir,2026-02-26T00:00:00.000Z,79209.87,7.42,5.0,"stables, points"
x33,Shadow,2026-02-26T00:00:00.000Z,76816.76,50.42,43.74,others
yoEUR,YO,2026-03-26T00:00:00.000Z,76644.22,5.66,2.93,"stables, points"
uniBTC,Bedrock,2026-06-25T00:00:00.000Z,70475.37,0.63,0,"btc, points"
rUSD,Reservoir,2026-02-26T00:00:00.000Z,69796.48,8.16,0,"stables, points"
sUSDu,Unitas ,2026-04-23T00:00:00.000Z,58018.3,12.21,12.94,"stables, points"
sUSDa,Avalon Finance,2026-06-18T00:00:00.000Z,54762.88,5.1,4.08,stables
AID,GAIB,2026-07-30T00:00:00.000Z,53230.97,9.08,0,"stables, rwa, points"
hwHLP,Hyperwave,2026-06-25T00:00:00.000Z,51929.49,8.49,1.46,"hype, others"
cUSDO,OpenEden,2026-10-29T00:00:00.000Z,51681.18,5.15,3.17,"stables, rwa"
USDaf,Asymmetry,2026-04-30T00:00:00.000Z,49698.7,6.94,0,"stables, points"
fusnstETH,IPOR,2026-04-30T00:00:00.000Z,45482.92,7.08,0,eth
ARM-WETH-stETH,Origin Protocol,2026-06-25T00:00:00.000Z,41315.63,4.0,5.56,others
ynUSDx,YieldNest,2026-04-30T00:00:00.000Z,5591.92,7.37,7.22,stables
